 ,ROI,Vamp3
1,0,5136.735
2,1,5883.547
3,2,5646.607
4,3,3804.519
5,4,6828.103
6,5,6318.560
7,6,6621.360
8,7,5729.639
9,8,7605.944
10,9,4596.932
