 ,ROI,Vamp3
1,0,16876.150
2,1,12807.079
3,2,9968.098
4,3,8155.256
5,4,7917.049
6,5,10513.453
7,6,15581.947
8,7,17672.861
9,8,14683.364
10,9,14196.861
