 ,ROI,Vamp3
1,0,6029.461
2,1,5431.546
3,2,5360.754
4,3,8193.756
5,4,7225.860
6,5,8300.735
7,6,8475.922
8,7,7584.592
9,8,9605.456
10,9,8911.265
