 ,ROI,Vamp3
1,0,10912.891
2,1,10155.374
3,2,8395.058
4,3,9909.894
5,4,9944.478
6,5,10998.825
7,6,12923.888
8,7,14294.240
9,8,12073.534
10,9,9749.748
