 ,Compartment,Mean intensity,Area,X_Coordinate,Y_Coordinate
1,Lamp1,10081.3684211,1.0595005657,39.344979693,17.8194751495
2,Lamp1,7490.90909091,0.262883599009,38.3397452115,20.3348999593
3,Lamp1,6739.38461538,0.10356020567,39.3710485003,20.4973869208
4,Lamp1,9139.21428571,0.111526375337,38.6977247631,21.1275551672
5,Lamp1,23567.5540541,0.589496555352,43.8005036885,22.6016147217
6,Lamp1,12950.375,0.0637293573354,38.7694462464,25.9169564404
7,Lamp1,16084.0,0.0398308483346,29.3018916897,26.8741991707
8,Lamp1,15307.7614679,0.868312493695,28.9250621911,27.7827824205
9,Lamp1,7764.22222222,0.0716955270023,40.4069982365,28.1098629283
10,Lamp1,5822.875,0.127458714671,30.5246632893,28.3379549542
11,Lamp1,27964.6590909,0.350511465345,31.6667011303,28.7132249375
12,Lamp1,12915.1666667,0.0477970180016,39.5392568337,28.5164617571
13,Lamp1,20974.0916667,1.91188072006,37.1892891519,29.84559366
14,Lamp1,14847.6666667,0.501868689016,40.550087023,29.1284850812
15,Lamp1,19471.7368421,0.151357223672,34.9286140177,29.3056497276
16,Lamp1,9312.72727273,0.175255732672,26.0295374354,29.9607440711
17,Lamp1,19152.7333333,0.119492545004,35.1390641432,30.3253306927
18,Lamp1,17033.7777778,0.0716955270023,13.264047157,30.4205343209
19,Lamp1,18185.0833333,0.0955940360031,20.8852959348,30.4354098878
20,Lamp1,20455.8099174,0.963906529698,41.5349186318,30.932204647
21,Lamp1,9637.76,0.199154241673,23.4968504606,30.7513669289
22,Lamp1,10373.2352941,0.135424884338,33.2993940337,30.7792979933
23,Lamp1,21583.88,0.398308483346,33.9127224076,31.1083805346
24,Lamp1,14955.0,0.0796616966693,37.7095621044,31.3011678817
25,Lamp1,13027.3076923,0.10356020567,16.0553137881,31.427495773
26,Lamp1,13801.5714286,0.0557631876685,24.920824728,31.5510774057
27,Lamp1,6114.5,0.0637293573354,28.2933282535,31.6403308071
28,Lamp1,10569.6538462,0.20712041134,44.386403096,31.8394345488
29,Lamp1,29867.1721311,0.971872699365,31.796158467,32.4063005719
30,Lamp1,32618.4285714,0.0557631876685,41.9299729435,32.1758512157
31,Lamp1,26955.6646341,1.30645182538,38.7103975022,33.0150508804
32,Lamp1,52388.5922865,5.78343917819,34.9100050006,33.4062204189
33,Lamp1,20335.6470588,0.270849768675,19.7328770163,32.6116178227
34,Lamp1,13779.375,0.0637293573354,45.296101226,32.4882381207
35,Lamp1,18832.6923077,0.20712041134,14.102037426,32.7113716243
36,Lamp1,7588.33333333,0.0716955270023,20.7811669664,32.9890488732
37,Lamp1,29614.6428571,1.00373737803,27.3327916476,33.5415699297
38,Lamp1,14109.2631579,0.151357223672,14.668091893,33.5898129963
39,Lamp1,16963.9502868,4.1663067358,42.2408361289,35.1261625043
40,Lamp1,23104.5,0.0637293573354,20.8852959348,33.8270391422
41,Lamp1,7527.3030303,0.262883599009,56.1525604182,34.1637678839
42,Lamp1,25171.8,0.0398308483346,31.4618240043,34.0501726458
43,Lamp1,20280.9459459,0.294748277676,24.2371229966,34.4385455547
44,Lamp1,54564.2,0.119492545004,32.4079100594,34.4547880656
45,Lamp1,60662.0,0.0398308483346,36.3529104027,34.2643808092
46,Lamp1,8013.16666667,0.0477970180016,53.611543126,34.332808417
47,Lamp1,15841.4074074,0.215086581007,18.5200807968,34.4964396529
48,Lamp1,43974.5287356,0.693056761022,35.3982067777,35.0576075906
49,Lamp1,62157.5384615,0.10356020567,15.3412865767,34.5307678842
50,Lamp1,24510.0641892,2.35798622141,28.7911571919,35.234890937
51,Lamp1,20439.0,0.0716955270023,14.1565811713,34.9724577939
52,Lamp1,14339.2596154,0.82848164536,51.702607396,35.4353167795
53,Lamp1,49285.8,0.0398308483346,33.9787699246,35.0855121024
54,Lamp1,22275.1942857,1.39407969171,38.801003699,35.7327267676
55,Lamp1,9162.625,0.0637293573354,54.9800952812,35.1993101892
56,Lamp1,18042.7272727,0.0876278663362,37.2470672061,35.413315504
57,Lamp1,12354.1666667,0.0477970180016,53.9388055979,35.5526049032
58,Lamp1,10242.1666667,0.0477970180016,24.1281695201,35.6716094384
59,Lamp1,15864.6111111,0.286782108009,31.2907549849,36.0633327002
60,Lamp1,11302.4,0.0398308483346,55.8280025948,35.8352406744
61,Lamp1,2646.0,0.0716955270023,62.4030031669,35.9145770312
62,Lamp1,29599.4285714,0.0557631876685,15.5747185496,36.1285018505
63,Lamp1,8722.44444444,0.0716955270023,52.4661244743,36.0930838341
64,Lamp1,16502.6,0.0398308483346,12.2723426967,36.1922542801
65,Lamp1,14628.2,0.119492545004,35.9482949828,36.4540642576
66,Lamp1,19011.4,0.0796616966693,39.3428993506,36.3975371034
67,Lamp1,20962.8947368,0.151357223672,29.9586088223,36.5633605281
68,Lamp1,11820.5384615,0.10356020567,33.1439073389,36.5149396545
69,Lamp1,18759.125,0.382376144012,43.3436830697,36.8002930773
70,Lamp1,7036.59090909,0.175255732672,46.8134090503,36.7724013894
71,Lamp1,11327.0952381,0.167289563005,25.7581066367,36.9530332732
72,Lamp1,12188.1428571,0.0557631876685,18.5200807968,36.8807805197
73,EEA1,49097.0,0.223052750674,35.7651130018,21.6471374684
74,EEA1,34650.18,0.398308483346,40.4549967324,21.7153525681
75,EEA1,43245.6666667,0.191188072006,26.7090803781,27.3189786212
76,EEA1,59827.6666667,0.0716955270023,42.0532276407,27.2569970924
77,EEA1,16496.2,0.119492545004,28.6295160655,27.4275702596
78,EEA1,19733.325,0.318646786677,32.1111424997,28.5990211534
79,EEA1,42060.6111111,0.430173162014,34.431978863,28.9412418342
80,EEA1,33743.2075472,0.422206992347,36.7530350853,29.2709056031
81,EEA1,30056.2564103,0.93204185103,37.5714863296,30.4609653489
82,EEA1,38897.9625,0.637293573354,41.5731187188,31.35137292
83,EEA1,38567.7619048,0.167289563005,30.4800365885,31.1940638
84,EEA1,11247.0,0.0716955270023,27.4156698061,31.4023217367
85,EEA1,40740.3176471,0.677124421689,35.0781618222,31.7978368097
86,EEA1,58892.0,0.167289563005,18.6263348462,31.7975868001
87,EEA1,14913.875,0.191188072006,27.4974854241,32.9307862362
88,EEA1,40358.3209877,0.645259743021,38.2836487976,33.2997829374
