 ,Compartment,Mean intensity,Area,X_Coordinate,Y_Coordinate
1,Lamp1,9312.6,0.0400113356679,30.1017393623,13.6419472593
2,Lamp1,9251.69047619,0.336095219611,34.5276513693,17.8761691409
3,Lamp1,7972.5,0.0800226713359,36.0773595389,19.098726163
4,Lamp1,11755.0,0.0800226713359,38.6894569813,23.6162234522
5,Lamp1,6474.0,0.0800226713359,37.1060965453,24.2245201168
6,Lamp1,9270.58823529,0.136038541271,27.7758991738,24.7344158505
7,Lamp1,10407.0,0.0800226713359,25.6915885434,24.7970346248
8,Lamp1,6545.76470588,0.136038541271,31.7224605796,25.2343136285
9,Lamp1,5297.30769231,0.208058945473,41.7447026726,25.5842420732
10,Lamp1,3549.28571429,0.0560158699351,43.4305927501,25.424500302
11,Lamp1,6814.8,0.0400113356679,26.1299199635,26.0046824149
12,Lamp1,7444.1,0.0800226713359,20.154299787,26.0762467284
13,Lamp1,9374.0,0.0720204042023,21.9513592147,26.3147944401
14,Lamp1,3447.81818182,0.0880249384694,44.5203220692,26.5641852295
15,Lamp1,5155.36,0.20005667834,44.9191304707,27.070990686
16,Lamp1,12111.4262295,0.488138295149,32.5683618068,27.5383291168
17,Lamp1,3151.83333333,0.0480136028015,46.6062591613,27.2391668227
18,Lamp1,6611.04545455,0.176049876939,39.9052370798,27.7677668655
19,Lamp1,8671.85714286,0.0560158699351,42.9194190823,27.9675892993
20,Lamp1,12204.2173913,0.184052144072,21.1211958921,28.5732189709
21,Lamp1,5242.08333333,0.288081616809,53.7825694864,29.3513080195
22,Lamp1,4733.23333333,0.240068014008,56.4761707303,29.8900282682
23,Lamp1,3781.93333333,0.480136028015,53.7611995872,30.2329406037
24,Lamp1,10819.2372881,0.472133760882,30.2897473045,30.2200024227
25,Lamp1,9547.72413793,0.232065746874,33.1247146736,30.3361741824
26,Lamp1,10627.578125,0.512145096549,39.1227565356,30.5951417581
27,Lamp1,6223.25,0.160045342672,36.877985296,31.094694212
28,Lamp1,10003.5,0.0640181370687,34.4738716397,30.8956559651
29,Lamp1,11279.0,0.0560158699351,23.1497774803,31.1752040647
30,Lamp1,6390.75,0.0640181370687,41.7309403047,31.3093871525
31,Lamp1,10046.9111111,0.360102021011,35.5465908805,31.6165173312
32,Lamp1,4724.78571429,0.11203173987,40.0951845677,31.3860632027
33,Lamp1,5748.1,0.0800226713359,43.2516819664,31.5151345538
34,Lamp1,8519.05555556,0.144040808405,37.6458107429,31.8013918077
35,Lamp1,16901.0512821,0.93626525463,40.4021072187,32.969663934
36,Lamp1,10772.1486486,0.592167767885,33.3620257388,32.9159576361
37,Lamp1,3705.8125,0.128036274137,66.4653561551,33.1432226857
38,Lamp1,4224.75,0.096027205603,55.6412537396,33.3668611654
39,Lamp1,4355.82716049,0.64818363782,64.5785100193,34.1890776992
40,Lamp1,11569.4444444,0.0720204042023,22.8657921093,33.620318109
41,Lamp1,7288.52777778,0.288081616809,43.1721660625,34.4129922758
42,Lamp1,12327.3076923,0.104029472737,33.1776286057,34.4506476437
43,Lamp1,10642.5294118,0.136038541271,19.1881815549,34.5745089555
44,Lamp1,3399.75490196,0.816231247626,65.6699047785,34.7446496028
45,Lamp1,10992.6551724,0.464131493748,31.2492361131,35.4783168802
46,Lamp1,16033.3571429,0.22406347974,35.7821567457,35.4243351782
47,Lamp1,2807.2,0.0400113356679,68.0844987479,35.3080431688
48,Lamp1,8140.64,0.20005667834,37.5193804557,35.5835657758
49,Lamp1,7149.77777778,0.0720204042023,41.542090033,35.6181551939
50,Lamp1,5375.35014006,2.85680936669,66.360740956,36.6841026365
51,Lamp1,10016.5294118,0.272077082542,39.4366726074,36.4188686525
52,Lamp1,8887.62857143,0.280079349676,31.2033186164,36.7469970437
53,Lamp1,19591.25,0.0640181370687,17.2648906298,36.4530721847
54,Lamp1,5201.26086957,0.184052144072,64.3203714328,36.6008680495
55,Lamp1,13237.3076923,0.208058945473,33.9035935165,37.0792599277
56,Lamp1,15709.3148148,0.432122425214,28.8410809696,37.3194642207
57,Lamp1,9109.52631579,0.152043075538,40.3137785704,37.3617506389
58,Lamp1,16767.0,0.0400113356679,52.6444981121,37.5265368871
59,Lamp1,8390.83673469,0.392111089546,27.8306677811,38.1947138957
60,Lamp1,9119.5,0.176049876939,38.3804292639,38.1405261676
61,Lamp1,4586.72222222,0.288081616809,72.7694764096,38.3962420857
62,Lamp1,7300.33333333,0.0480136028015,33.2774057735,38.197452326
63,Lamp1,3488.16666667,0.0480136028015,60.5016633642,38.868367765
64,Lamp1,4737.27358491,0.84824031616,66.6619892335,39.4397007866
65,Lamp1,8133.81818182,0.264074815408,27.903305338,39.4023893467
66,Lamp1,9455.66666667,0.0480136028015,40.0312878592,39.6287385959
67,Lamp1,14413.0681818,1.05629926163,40.8228325388,40.3104971126
68,Lamp1,13582.942446,1.11231513157,34.0332716566,40.3961886304
69,Lamp1,10740.3787879,0.528149630817,30.7712994166,40.4311263532
70,Lamp1,6478.14285714,0.0560158699351,45.2197005874,40.0951845677
71,Lamp1,10640.8888889,0.0720204042023,19.8740062258,40.2897145469
72,Lamp1,3261.875,0.0640181370687,75.4556230375,40.6127479064
73,Lamp1,15476.1428571,0.840238049027,29.8248536256,41.1490542795
74,Lamp1,11538.5,0.176049876939,36.1399783132,40.7469309942
75,Lamp1,6594.0,0.0640181370687,25.9420636406,40.7469309942
76,Lamp1,6798.2,0.120034007004,35.1768419274,40.9556602418
77,Lamp1,12941.671875,0.512145096549,45.485271282,41.3130158958
78,Lamp1,10921.8431373,0.408115623813,32.1749996208,41.3327761095
79,Lamp1,13318.5625,0.128036274137,37.2134430155,41.3731187372
80,Lamp1,8792.16666667,0.096027205603,28.0889930454,41.507301825
81,Lamp1,18101.6363636,0.352099753878,33.1879503816,42.0440341762
82,Lamp1,24364.1578947,0.304086151076,40.2243231785,42.1028864077
83,Lamp1,6482.6097561,0.328092952477,25.5569690878,42.2480361064
84,Lamp1,12151.3055556,0.576163233618,26.9658309031,42.3683099717
85,Lamp1,7670.64,0.20005667834,24.5590832824,42.3070330283
86,Lamp1,14795.1428571,0.0560158699351,45.1558038789,42.178217264
87,Lamp1,15522.0357143,0.22406347974,49.4400781821,42.4465834396
88,Lamp1,1594.2,0.0400113356679,50.9269545883,42.2139994207
89,Lamp1,4577.04166667,0.192054411206,68.1090989806,42.5062203675
90,Lamp1,3448.25,0.0640181370687,26.0762467284,42.5807665274
91,Lamp1,11068.4,0.0400113356679,34.8428751311,42.5360388314
92,Lamp1,10197.7916667,0.192054411206,43.0727711826,42.7596773111
93,Lamp1,6378.125,0.0640181370687,29.7886454908,42.804405007
94,Lamp1,25094.9803922,0.408115623813,44.8127662558,43.1359161651
95,Lamp1,12201.9166667,0.096027205603,45.9129798743,43.0205888707
96,Lamp1,17368.1904762,0.168047609805,50.3186579236,43.4305927501
97,Lamp1,15861.2941176,0.136038541271,31.1752040647,43.520048142
98,Lamp1,15890.0833333,0.096027205603,35.8716121376,43.5647758379
99,Lamp1,9531.43333333,0.240068014008,35.0068766829,43.731759236
100,Lamp1,10457.0,0.280079349676,45.6644216784,43.9468781546
101,Lamp1,7625.8,0.0400113356679,43.7526321608,44.0388894148
102,Lamp1,9991.22222222,0.0720204042023,52.4755268164,44.0865989571
103,Lamp1,8043.19117647,0.544154165084,30.030701257,44.5145816162
104,Lamp1,22166.6744186,0.344097486744,36.6132597469,44.524861032
105,Lamp1,3752.75757576,0.528149630817,77.1769616385,44.6450174639
106,Lamp1,13656.7692308,0.416117890946,31.3300307045,44.5642678124
107,Lamp1,24451.8888889,0.0720204042023,44.156175373,44.832060556
108,Lamp1,31927.5849057,0.42412015808,39.8523770755,45.201134374
109,Lamp1,11656.9565217,0.184052144072,43.5783886149,44.9863386956
110,Lamp1,10212.5,0.0800226713359,33.3847522437,44.9781710293
111,Lamp1,19829.4705882,0.136038541271,46.2931652897,45.0407898036
112,Lamp1,12073.3823529,0.272077082542,42.7491531474,45.3512526342
113,Lamp1,34214.779661,0.472133760882,37.7706439733,45.6048136303
114,Lamp1,12113.9473684,0.152043075538,49.551224825,45.3468214074
