 ,Compartment,Mean intensity,Area,X_Coordinate,Y_Coordinate
1,Lamp1,4461.85714286,0.0777085726036,64.9558883658,30.1562095565
2,Lamp1,5235.0,0.0555061232883,64.4290766191,30.3970377835
3,Lamp1,4722.25,0.0888097972613,37.4694854827,30.7262951252
4,Lamp1,4722.66666667,0.133214695892,44.0414620226,31.1872554035
5,Lamp1,5816.66666667,0.0666073479459,53.9104020771,31.1170138373
6,Lamp1,5493.29166667,0.266429391784,55.5654689812,31.801869108
7,Lamp1,5797.71428571,0.310834290414,64.2371666257,32.9483118139
8,Lamp1,5671.63636364,0.122113471234,68.8542952912,32.8203718182
9,Lamp1,11845.2,0.0555061232883,27.8261964597,33.7475604924
10,Lamp1,2965.16666667,0.0666073479459,73.5077990536,33.7510725707
11,Lamp1,6485.03846154,0.577263682198,40.6698668438,34.3359686895
12,Lamp1,4541.02631579,0.421846536991,37.5616775384,34.3481258836
13,Lamp1,5259.4,0.0555061232883,67.3160049909,34.3797345884
14,Lamp1,3370.08333333,0.133214695892,63.8671440893,35.1295633079
15,Lamp1,20766.1458333,0.532858783568,29.8021795196,36.2819640037
16,Lamp1,6334.81578947,0.843693073982,34.0888790504,36.363873988
17,Lamp1,6383.22580645,0.344137964387,65.6356454583,36.779956882
18,Lamp1,18071.3928571,0.310834290414,41.0499238896,37.4638410711
19,Lamp1,12895.2777778,0.199822043838,37.2572974181,37.65533296
20,Lamp1,14173.32,0.555061232883,46.83356428,38.1559211886
21,Lamp1,2162.0,0.0555061232883,65.5880624618,37.7724022371
22,Lamp1,4139.5,0.0888097972613,36.508054045,37.9304457611
23,Lamp1,11202.0970874,1.14342613974,41.2974377304,38.6470120301
24,Lamp1,9212.32894737,0.843693073982,22.1482749078,38.6471870059
25,Lamp1,6343.71428571,0.0777085726036,40.1957362718,38.5851975034
26,Lamp1,5808.83333333,0.133214695892,54.8937840042,38.8787069051
27,Lamp1,8737.0,0.421846536991,47.5544645649,39.2890655288
28,Lamp1,6130.0,0.0555061232883,43.6726937999,39.2474751278
29,Lamp1,7725.20930233,0.477352660279,49.4651727262,39.7130296946
30,Lamp1,5276.12295082,1.35434940823,63.0006395224,40.194872646
31,Lamp1,6807.71428571,0.0777085726036,54.2540840261,39.8495456954
32,Lamp1,10711.8888889,0.0999110219189,25.8547498343,39.94989079
33,Lamp1,7096.07142857,0.155417145207,30.6453918927,40.1129515687
34,Lamp1,13387.255814,0.477352660279,44.9713460126,40.2251397181
35,Lamp1,7254.0,0.0888097972613,60.7282240987,40.2089065655
36,Lamp1,10941.3846154,0.14431592055,20.5335009264,41.314198134
37,Lamp1,15119.7777778,0.0999110219189,46.6930811475,41.3430151868
38,Lamp1,5833.5,0.266429391784,65.3773377632,41.6181279878
39,Lamp1,14856.0,0.0777085726036,18.7770758281,41.5654468132
40,Lamp1,11175.3461538,0.288631841099,29.7932304739,41.7315951333
41,Lamp1,11494.0714286,0.155417145207,43.1985632279,41.7460679834
42,Lamp1,11366.2222222,0.0999110219189,21.1368579696,41.9166546443
43,Lamp1,21821.3846154,0.14431592055,25.9069807426,41.9220578417
44,Lamp1,8694.1875,0.177619594523,20.0846978422,42.0922585598
45,Lamp1,7569.60606061,0.366340413703,24.0784896218,42.3700320263
46,Lamp1,14452.8571429,0.0777085726036,28.9219648928,42.2728797301
47,Lamp1,11158.6,0.111012246577,43.6200126252,42.3029832585
48,Lamp1,6607.06122449,0.543960008225,63.6786386616,42.9351573545
49,Lamp1,11891.2105263,0.843693073982,26.6927193963,43.4092879265
50,Lamp1,14168.7291667,0.532858783568,46.3045574843,43.0690553401
51,Lamp1,20044.1666667,0.0666073479459,48.7125261765,42.9527177461
52,Lamp1,7241.17777778,0.499555109595,24.4616254376,43.3285101254
53,Lamp1,14923.5833333,0.133214695892,51.9436382228,43.1985632279
54,Lamp1,15296.7142857,0.310834290414,48.3048742296,43.838263206
55,Lamp1,11745.75,0.0888097972613,49.1383656717,43.7648858556
56,Lamp1,14015.0377358,0.588364906856,23.6856549277,44.3008919582
57,Lamp1,22244.0,0.0555061232883,39.8164318142,43.9044909684
58,Lamp1,11251.4137931,0.321935515072,59.822198724,44.3339333716
59,Lamp1,15643.2068966,0.321935515072,46.8190315421,44.8716446716
60,Lamp1,24666.6153846,0.14431592055,55.3030762074,44.6857933127
61,Lamp1,11131.3030303,0.366340413703,27.5841823361,45.0168619535
62,Lamp1,22208.8402662,6.67183601925,50.359784404,46.361975728
63,Lamp1,10135.8333333,0.0666073479459,57.3873596052,44.9194816004
64,Lamp1,18573.3823529,0.37744163836,24.5742185364,45.4173703492
