Genotype;Mean intensity;Experiment
WT;679900;1
KO;594500;1
WT 10min;170650;1
KO 10min;196500;1
WT 30min;48435;1
KO 30min;63950;1
WT;698800;2
KO;794100;2
WT 10min;169250;2
KO 10min;174850;2
WT 30min;17000;2
KO 30min;17890;2
WT;689100;3
KO;708050;3
WT 10min;150150;3
KO 10min;173900;3
WT 30min;37800;3
KO 30min;60440;3
