 ,ROI,Vamp3
1,0,6472.065
2,1,8209.092
3,2,7187.100
4,3,6885.115
5,4,9038.193
6,5,8296.159
7,6,9719.725
8,7,16242.883
9,8,11713.312
10,9,9174.837
