 ,ROI,Vamp3
1,0,3542.881
2,1,4485.190
3,2,6664.334
4,3,8489.329
5,4,5299.694
6,5,5505.663
7,6,3381.869
8,7,3391.142
9,8,1876.780
10,9,2083.117
