 ,ROI,Vamp3
1,0,15912.737
2,1,13678.526
3,2,9468.647
4,3,8360.784
5,4,6318.016
6,5,8503.198
7,6,12987.245
8,7,10430.262
9,8,8180.907
10,9,6974.099
