 ,ROI,Vamp3
1,0,18958.986
2,1,10627.693
3,2,8082.518
4,3,8379.227
5,4,9016.192
6,5,10061.047
7,6,11966.756
8,7,15816.930
9,8,10793.157
10,9,7864.729
