 ,ROI,Vamp3
1,0,3369.921
2,1,3232.594
3,2,4686.442
4,3,4116.044
5,4,4903.243
6,5,6575.873
7,6,11178.629
8,7,11859.771
9,8,10161.237
10,9,6426.490
