Treatment;Invasion;Experiment;;;;;;;;
KD_WT;20,00969;3;;;;;;;;
KD_WT;35,5938;3;;;;;;;;
KD_WT;27,3541;3;;;;;;;;
KD_WT;25,52544;3;;;;;;;;
KD_WT;32,45521;3;;;;;;;;
KD_WT;25,05415;3;;;;;;;;
KD_WT;40,26959;3;;;;;;;;
KD_WT;26,99885;3;;;;;;;;
KD_WT;41,40199;3;;;;;;;;
KD_WT;38,2648;3;;;;;;;;
KD_WT;30,15412;3;;;;;;;;
KD_RESCUE;17,54197;3;;;;;;;;
KD_RESCUE;10,70151;3;;;;;;;;
KD_RESCUE;6,928848;3;;;;;;;;
KD_RESCUE;5,676481;3;;;;;;;;
KD_RESCUE;15,71449;3;;;;;;;;
KD_RESCUE;8,970465;3;;;;;;;;
KD_RESCUE;6,625243;3;;;;;;;;
KD_RESCUE;1,780914;3;;;;;;;;
KD_RESCUE;7,570871;3;;;;;;;;
KD_RESCUE;10,41948;3;;;;;;;;
KD_RESCUE;8,234413;3;;;;;;;;
KD_RESCUE;6,755225;3;;;;;;;;
KD_RESCUE;12,41285;3;;;;;;;;
KD_RESCUE;6,610349;3;;;;;;;;
KD_RESCUE;13,17721;3;;;;;;;;
SCR_RESCUE;5,320989;3;;;;;;;;
SCR_RESCUE;7,66175;3;;;;;;;;
SCR_RESCUE;1,477873;3;;;;;;;;
SCR_RESCUE;2,783763;3;;;;;;;;
SCR_RESCUE;1,681438;3;;;;;;;;
SCR_RESCUE;7,057912;3;;;;;;;;
SCR_RESCUE;2,911189;3;;;;;;;;
SCR_RESCUE;0,095564;3;;;;;;;;
SCR_RESCUE;0,052433;3;;;;;;;;
SCR_RESCUE;0,031595;3;;;;;;;;
SCR_RESCUE;0,04859;3;;;;;;;;
SCR_RESCUE;0,01226;3;;;;;;;;
SCR_RESCUE;18,64989;3;;;;;;;;
SCR_RESCUE;2,694995;3;;;;;;;;
SCR_RESCUE;0,024826;3;;;;;;;;
