 ,Compartment,Mean intensity,Area,X_Coordinate,Y_Coordinate
1,Lamp1,3099.125,0.0639743409879,62.3737892971,1.1625222378
2,Lamp1,6104.6875,0.127948681976,64.3858470164,1.83320814422
3,Lamp1,7361.18518519,0.647740202502,60.3578675438,2.31566039295
4,Lamp1,4286.52830189,0.423830009045,58.9435894286,2.24489961885
5,Lamp1,5258.92592593,1.07956700417,63.0878627856,3.05667171869
6,Lamp1,5831.35714286,0.335865290186,58.0579787183,3.00424702844
7,Lamp1,5964.64705882,0.135945474599,61.2112670593,2.99573038201
8,Lamp1,5570.3,0.0799679262349,59.8430678102,3.32660209585
9,Lamp1,4130.11111111,0.0719711336114,57.6044672959,3.61176780717
10,Lamp1,4799.47058824,0.135945474599,64.07286026,4.01096473448
11,Lamp1,5787.14285714,0.167932645093,59.780470459,4.06882783228
12,Lamp1,4223.0,0.0559775483644,60.2275943966,5.16747522185
13,Lamp1,3487.75,0.0639743409879,59.1097845525,6.12559794531
14,Lamp1,4828.76923077,0.103958304105,57.7787309844,6.24941688188
15,Lamp1,3265.08333333,0.287884534446,60.0164525371,6.54291362041
16,Lamp1,4055.0,0.103958304105,57.0426961948,6.71717730892
17,Lamp1,5329.95,0.15993585247,60.339375381,7.38201621
18,Lamp1,3434.59090909,0.175929437717,62.1949397221,7.4994878627
19,Lamp1,2883.83870968,0.247900571328,56.3823285331,8.2429461402
20,Lamp1,2929.30769231,0.207916608211,60.5027475889,8.19268630305
21,Lamp1,3114.05,0.15993585247,59.7134018683,9.34489029613
22,Lamp1,5232.66666667,0.0719711336114,56.8195163832,9.85163075876
23,Lamp1,2247.16666667,0.0479807557409,64.1771891788,10.4925084027
24,Lamp1,3020.33333333,0.0719711336114,62.4532779971,10.924728209
25,Lamp1,3400.64285714,0.111955096729,57.9472623147,12.8771694033
26,Lamp1,5321.19047619,0.167932645093,51.5533900069,14.2632536099
27,Lamp1,5924.5,0.191923022964,51.6316366959,15.2171180101
28,Lamp1,4098.66666667,0.143942267223,55.4533043516,15.2717664914
29,Lamp1,6496.05,0.15993585247,54.1243526481,16.5838268461
30,Lamp1,4419.0,0.0639743409879,48.2334947701,19.0810140377
31,Lamp1,6309.4516129,0.247900571328,51.4380031843,22.4124479567
32,Lamp1,9617.92857143,0.335865290186,49.1942789455,22.8650665049
