Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,90,34.394,0.382,0.513,255,255
t:2/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,105,42.643,0.406,0.635,255,255
t:3/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,102,43.136,0.423,0.643,255,255
t:4/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,99,42.899,0.433,0.639,255,255
t:5/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,94,38.234,0.407,0.570,255,255
t:6/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,90,37.491,0.417,0.559,255,255
t:7/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,81,32.352,0.399,0.482,255,255
t:8/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,76,30.950,0.407,0.461,255,255
t:9/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,63,24.512,0.389,0.365,255,255
t:10/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,64,24.218,0.378,0.361,255,255
t:11/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,60,22.547,0.376,0.336,255,255
t:12/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,59,23.322,0.395,0.348,255,255
t:13/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,63,24.013,0.381,0.358,255,255
t:14/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,59,21.197,0.359,0.316,255,255
t:15/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,54,19.539,0.362,0.291,255,255
t:16/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,49,19.392,0.396,0.289,255,255
t:17/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,35,11.110,0.317,0.166,255,255
t:18/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,29,11.514,0.397,0.172,255,255
t:19/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,49,16.224,0.331,0.242,255,255
t:20/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,43,15.347,0.357,0.229,255,255
t:21/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,45,14.931,0.332,0.222,255,255
t:22/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,43,12.147,0.282,0.181,255,255
t:23/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,36,10.810,0.300,0.161,255,255
t:24/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,24,7.040,0.293,0.105,255,255
t:25/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,26,7.955,0.306,0.119,255,255
t:26/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,23,6.995,0.304,0.104,255,255
t:27/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,20,5.773,0.289,0.086,255,255
t:28/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,13,4.518,0.348,0.067,255,255
t:29/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,20,6.445,0.322,0.096,255,255
t:30/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,18,5.824,0.324,0.087,255,255
t:31/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,24,7.283,0.303,0.109,255,255
t:32/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,19,6.714,0.353,0.100,255,255
t:33/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,16,4.691,0.293,0.070,255,255
t:34/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,11,3.334,0.303,0.050,255,255
t:35/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,12,3.686,0.307,0.055,255,255
t:36/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,26,6.579,0.253,0.098,255,255
t:37/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,17,4.506,0.265,0.067,255,255
t:38/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,17,4.243,0.250,0.063,255,255
t:39/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,15,3.859,0.257,0.058,255,255
t:40/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,9,2.515,0.279,0.037,255,255
t:41/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,11,3.136,0.285,0.047,255,255
t:42/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,13,3.917,0.301,0.058,255,255
t:43/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,15,3.686,0.246,0.055,255,255
t:44/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,9,2.886,0.321,0.043,255,255
t:45/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,14,3.635,0.260,0.054,255,255
t:46/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,14,3.642,0.260,0.054,255,255
t:47/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,12,3.334,0.278,0.050,255,255
t:48/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,9,3.104,0.345,0.046,255,255
t:49/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,7,2.688,0.384,0.040,255,255
t:50/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,7,2.189,0.313,0.033,255,255
t:51/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,6,1.741,0.290,0.026,255,255
t:52/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.370,0.342,0.020,255,255
t:53/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,7,2.278,0.325,0.034,255,255
t:54/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,5,1.510,0.302,0.023,255,255
t:55/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,6,2.061,0.343,0.031,255,255
t:56/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,5,1.587,0.317,0.024,255,255
t:57/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.190,0.298,0.018,255,255
t:58/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.992,0.248,0.015,255,255
t:59/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.781,0.390,0.012,255,255
t:60/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,5,1.446,0.289,0.022,255,255
t:61/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.267,0.317,0.019,255,255
t:62/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,7,1.542,0.220,0.023,255,255
t:63/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,7,1.510,0.216,0.023,255,255
t:64/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,5,1.286,0.257,0.019,255,255
t:65/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.274,0.318,0.019,255,255
t:66/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,6,1.408,0.235,0.021,255,255
t:67/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.030,0.258,0.015,255,255
t:68/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.286,0.322,0.019,255,255
t:69/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.030,0.258,0.015,255,255
t:70/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,3,0.979,0.326,0.015,255,255
t:71/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.710,0.355,0.011,255,255
t:72/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.331,0.333,0.020,255,255
t:73/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,5,1.434,0.287,0.021,255,255
t:74/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.845,0.211,0.013,255,255
t:75/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.094,0.274,0.016,255,255
t:76/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,1.120,0.280,0.017,255,255
t:77/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.678,0.339,0.010,255,255
t:78/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.621,0.310,0.009,255,255
t:79/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.947,0.237,0.014,255,255
t:80/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.397,0.198,0.006,255,255
t:81/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.301,0.150,0.004,255,255
t:82/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.512,0.256,0.008,255,255
t:83/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.864,0.216,0.013,255,255
t:84/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.512,0.256,0.008,255,255
t:85/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.614,0.154,0.009,255,255
t:86/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,3,0.544,0.181,0.008,255,255
t:87/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,1,0.224,0.224,0.003,255,255
t:88/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,1,0.288,0.288,0.004,255,255
t:89/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.781,0.195,0.012,255,255
t:90/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,3,0.838,0.279,0.012,255,255
t:91/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,5,1.171,0.234,0.017,255,255
t:92/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.768,0.192,0.011,255,255
t:93/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,4,0.826,0.206,0.012,255,255
t:94/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.557,0.278,0.008,255,255
t:95/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.557,0.278,0.008,255,255
t:96/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,2,0.506,0.253,0.008,255,255
t:97/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,1,0.243,0.243,0.004,255,255
t:98/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,1,0.333,0.333,0.005,255,255
t:99/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_1_D3D.dv,1,0.288,0.288,0.004,255,255
