Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,260,91.002,0.350,1.356,255,255
t:2/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,247,87.469,0.354,1.303,255,255
t:3/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,260,91.174,0.351,1.359,255,255
t:4/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,255,88.384,0.347,1.317,255,255
t:5/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,248,86.266,0.348,1.285,255,255
t:6/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,249,89.120,0.358,1.328,255,255
t:7/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,237,83.334,0.352,1.242,255,255
t:8/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,239,83.296,0.349,1.241,255,255
t:9/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,228,80.826,0.354,1.204,255,255
t:10/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,219,72.422,0.331,1.079,255,255
t:11/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,217,76.019,0.350,1.133,255,255
t:12/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,218,76.845,0.352,1.145,255,255
t:13/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,194,65.350,0.337,0.974,255,255
t:14/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,199,67.552,0.339,1.007,255,255
t:15/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,201,65.267,0.325,0.973,255,255
t:16/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,185,59.744,0.323,0.890,255,255
t:17/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,190,59.814,0.315,0.891,255,255
t:18/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,178,55.507,0.312,0.827,255,255
t:19/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,180,53.830,0.299,0.802,255,255
t:20/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,180,54.419,0.302,0.811,255,255
t:21/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,171,50.918,0.298,0.759,255,255
t:22/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,161,45.632,0.283,0.680,255,255
t:23/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,150,41.421,0.276,0.617,255,255
t:24/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,151,41.875,0.277,0.624,255,255
t:25/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,138,38.061,0.276,0.567,255,255
t:26/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,149,41.888,0.281,0.624,255,255
t:27/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,141,39.014,0.277,0.581,255,255
t:28/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,134,35.514,0.265,0.529,255,255
t:29/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,140,39.347,0.281,0.586,255,255
t:30/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,141,40.128,0.285,0.598,255,255
t:31/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,122,33.344,0.273,0.497,255,255
t:32/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,130,35.488,0.273,0.529,255,255
t:33/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,124,34.406,0.277,0.513,255,255
t:34/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,115,32.179,0.280,0.480,255,255
t:35/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,110,30.157,0.274,0.449,255,255
t:36/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,105,27.392,0.261,0.408,255,255
t:37/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_3_D3D.dv,98,25.606,0.261,0.382,255,255
