Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,114,71.590,0.628,1.067,255,255
t:2/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,109,70.963,0.651,1.057,255,255
t:3/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,108,69.683,0.645,1.038,255,255
t:4/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,122,66.470,0.545,0.990,255,255
t:5/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,112,66.752,0.596,0.995,255,255
t:6/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,121,65.376,0.540,0.974,255,255
t:7/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,119,62.976,0.529,0.938,255,255
t:8/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,116,62.803,0.541,0.936,255,255
t:9/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,112,61.715,0.551,0.920,255,255
t:10/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,117,59.341,0.507,0.884,255,255
t:11/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,105,61.997,0.590,0.924,255,255
t:12/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,112,60.442,0.540,0.901,255,255
t:13/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,111,56.262,0.507,0.838,255,255
t:14/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,107,57.357,0.536,0.855,255,255
t:15/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,107,55.328,0.517,0.824,255,255
t:16/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,100,53.114,0.531,0.791,255,255
t:17/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,102,51.520,0.505,0.768,255,255
t:18/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,97,53.152,0.548,0.792,255,255
t:19/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,52.659,0.572,0.785,255,255
t:20/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,95,50.611,0.533,0.754,255,255
t:21/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,48.877,0.531,0.728,255,255
t:22/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,48.480,0.527,0.722,255,255
t:23/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,91,49.133,0.540,0.732,255,255
t:24/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,102,48.237,0.473,0.719,255,255
t:25/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,101,47.584,0.471,0.709,255,255
t:26/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,96,46.989,0.489,0.700,255,255
t:27/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,91,45.702,0.502,0.681,255,255
t:28/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,95,47.091,0.496,0.702,255,255
t:29/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,99,47.392,0.479,0.706,255,255
t:30/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,101,44.794,0.444,0.667,255,255
t:31/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,100,44.230,0.442,0.659,255,255
t:32/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,42.010,0.457,0.626,255,255
t:33/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,95,41.728,0.439,0.622,255,255
t:34/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,93,40.557,0.436,0.604,255,255
t:35/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,94,40.902,0.435,0.609,255,255
t:36/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,95,42.291,0.445,0.630,255,255
t:37/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,98,39.315,0.401,0.586,255,255
t:38/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,86,37.568,0.437,0.560,255,255
t:39/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,86,38.330,0.446,0.571,255,255
t:40/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,36.742,0.399,0.548,255,255
t:41/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,88,36.224,0.412,0.540,255,255
t:42/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,84,35.315,0.420,0.526,255,255
t:43/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,35.827,0.389,0.534,255,255
t:44/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,35.379,0.385,0.527,255,255
t:45/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,92,35.411,0.385,0.528,255,255
t:46/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,95,35.322,0.372,0.526,255,255
t:47/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,90,33.011,0.367,0.492,255,255
t:48/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,85,33.139,0.390,0.494,255,255
t:49/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,82,31.667,0.386,0.472,255,255
t:50/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,80,29.869,0.373,0.445,255,255
t:51/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,84,31.437,0.374,0.468,255,255
t:52/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,81,30.419,0.376,0.453,255,255
t:53/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,81,29.805,0.368,0.444,255,255
t:54/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,83,29.651,0.357,0.442,255,255
t:55/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,89,30.323,0.341,0.452,255,255
t:56/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,82,29.222,0.356,0.435,255,255
t:57/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,86,28.883,0.336,0.430,255,255
t:58/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,74,27.648,0.374,0.412,255,255
t:59/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,78,27.174,0.348,0.405,255,255
t:60/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,67,25.146,0.375,0.375,255,255
t:61/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,25.485,0.386,0.380,255,255
t:62/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,77,27.354,0.355,0.408,255,255
t:63/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,73,26.509,0.363,0.395,255,255
t:64/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,73,25.414,0.348,0.379,255,255
t:65/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,76,24.371,0.321,0.363,255,255
t:66/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,73,24.774,0.339,0.369,255,255
t:67/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,70,25.338,0.362,0.378,255,255
t:68/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,24.154,0.372,0.360,255,255
t:69/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,23.360,0.354,0.348,255,255
t:70/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,67,25.574,0.382,0.381,255,255
t:71/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,22.925,0.358,0.342,255,255
t:72/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,70,24.224,0.346,0.361,255,255
t:73/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,72,24.986,0.347,0.372,255,255
t:74/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,23.174,0.368,0.345,255,255
t:75/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,69,24.890,0.361,0.371,255,255
t:76/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,24.077,0.382,0.359,255,255
t:77/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,23.507,0.367,0.350,255,255
t:78/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,68,25.299,0.372,0.377,255,255
t:79/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,69,23.219,0.337,0.346,255,255
t:80/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,21.248,0.343,0.317,255,255
t:81/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,20.211,0.331,0.301,255,255
t:82/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,21.907,0.348,0.326,255,255
t:83/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,21.830,0.336,0.325,255,255
t:84/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,20.800,0.315,0.310,255,255
t:85/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,68,20.960,0.308,0.312,255,255
t:86/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,20.915,0.332,0.312,255,255
t:87/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,75,23.878,0.318,0.356,255,255
t:88/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,74,25.664,0.347,0.382,255,255
t:89/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,22.573,0.353,0.336,255,255
t:90/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,21.754,0.340,0.324,255,255
t:91/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,73,23.315,0.319,0.347,255,255
t:92/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,21.248,0.348,0.317,255,255
t:93/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,69,21.530,0.312,0.321,255,255
t:94/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,22.266,0.337,0.332,255,255
t:95/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,71,21.786,0.307,0.325,255,255
t:96/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,69,25.395,0.368,0.378,255,255
t:97/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,24.454,0.371,0.364,255,255
t:98/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,20.461,0.330,0.305,255,255
t:99/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,74,25.606,0.346,0.382,255,255
t:100/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,69,22.029,0.319,0.328,255,255
t:101/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,71,22.771,0.321,0.339,255,255
t:102/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,22.861,0.363,0.341,255,255
t:103/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,70,24.141,0.345,0.360,255,255
t:104/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,24.006,0.381,0.358,255,255
t:105/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,24.045,0.370,0.358,255,255
t:106/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,68,23.034,0.339,0.343,255,255
t:107/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,24.205,0.372,0.361,255,255
t:108/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,58,22.451,0.387,0.335,255,255
t:109/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,24.390,0.393,0.363,255,255
t:110/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,71,26.432,0.372,0.394,255,255
t:111/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,57,21.824,0.383,0.325,255,255
t:112/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,22.842,0.408,0.340,255,255
t:113/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,21.670,0.387,0.323,255,255
t:114/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,53,21.830,0.412,0.325,255,255
t:115/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,54,21.485,0.398,0.320,255,255
t:116/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,23.891,0.405,0.356,255,255
t:117/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,24.307,0.374,0.362,255,255
t:118/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,55,22.451,0.408,0.335,255,255
t:119/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,22.451,0.362,0.335,255,255
t:120/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,22.874,0.352,0.341,255,255
t:121/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,22.995,0.383,0.343,255,255
t:122/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,21.984,0.366,0.328,255,255
t:123/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,22.099,0.395,0.329,255,255
t:124/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,55,24.384,0.443,0.363,255,255
t:125/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,23.603,0.387,0.352,255,255
t:126/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,22.246,0.359,0.331,255,255
t:127/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,25.312,0.429,0.377,255,255
t:128/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,21.434,0.383,0.319,255,255
t:129/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,24.198,0.384,0.361,255,255
t:130/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,24.416,0.381,0.364,255,255
t:131/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,26.202,0.409,0.390,255,255
t:132/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,63,24.851,0.394,0.370,255,255
t:133/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,67,28.742,0.429,0.428,255,255
t:134/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,25.542,0.433,0.381,255,255
t:135/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,25.274,0.395,0.377,255,255
t:136/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,26.259,0.430,0.391,255,255
t:137/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,27.347,0.427,0.408,255,255
t:138/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,26.054,0.401,0.388,255,255
t:139/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,27.552,0.459,0.411,255,255
t:140/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,24.397,0.370,0.364,255,255
t:141/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,25.594,0.413,0.381,255,255
t:142/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,28.499,0.438,0.425,255,255
t:143/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,25.594,0.420,0.381,255,255
t:144/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,51,24.806,0.486,0.370,255,255
t:145/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,23.885,0.392,0.356,255,255
t:146/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,67,25.395,0.379,0.378,255,255
t:147/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,53,27.168,0.513,0.405,255,255
t:148/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,23.949,0.406,0.357,255,255
t:149/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,25.568,0.399,0.381,255,255
t:150/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,57,25.715,0.451,0.383,255,255
t:151/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,25.907,0.418,0.386,255,255
t:152/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,24.928,0.384,0.371,255,255
t:153/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,66,25.856,0.392,0.385,255,255
t:154/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,23.008,0.411,0.343,255,255
t:155/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,23.718,0.424,0.353,255,255
t:156/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,24.333,0.412,0.363,255,255
t:157/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,22.592,0.353,0.337,255,255
t:158/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,24.064,0.401,0.359,255,255
