Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:159/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,25.408,0.431,0.379,255,255
t:160/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,26.048,0.407,0.388,255,255
t:161/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,22.669,0.384,0.338,255,255
t:162/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,23.750,0.396,0.354,255,255
t:163/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,25.939,0.463,0.387,255,255
t:164/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,54,22.259,0.412,0.332,255,255
t:165/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,55,25.555,0.465,0.381,255,255
t:166/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,57,23.789,0.417,0.354,255,255
t:167/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,25.165,0.449,0.375,255,255
t:168/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,58,26.797,0.462,0.399,255,255
t:169/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,48,24.262,0.505,0.362,255,255
t:170/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,57,26.234,0.460,0.391,255,255
t:171/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,56,23.270,0.416,0.347,255,255
t:172/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,62,24.390,0.393,0.363,255,255
t:173/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,65,25.152,0.387,0.375,255,255
t:174/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,26.726,0.438,0.398,255,255
t:175/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,23.872,0.373,0.356,255,255
t:176/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,22.701,0.378,0.338,255,255
t:177/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,60,23.590,0.393,0.352,255,255
t:178/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,57,24.275,0.426,0.362,255,255
t:179/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,61,23.462,0.385,0.350,255,255
t:180/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,59,23.674,0.401,0.353,255,255
t:181/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_5_D3D.dv,64,23.123,0.361,0.345,255,255
