Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,63,45.766,0.726,0.682,255,255
t:2/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,58,45.062,0.777,0.671,255,255
t:3/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,55,44.192,0.803,0.659,255,255
t:4/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,54,44.570,0.825,0.664,255,255
t:5/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,52,40.646,0.782,0.606,255,255
t:6/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,48,40.198,0.837,0.599,255,255
t:7/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,50,40.275,0.806,0.600,255,255
t:8/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,52,38.688,0.744,0.576,255,255
t:9/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,47,39.430,0.839,0.588,255,255
t:10/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,48,38.355,0.799,0.572,255,255
t:11/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,45,38.554,0.857,0.574,255,255
t:12/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,45,39.456,0.877,0.588,255,255
t:13/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,40,37.997,0.950,0.566,255,255
t:14/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,43,37.485,0.872,0.559,255,255
t:15/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,43,36.762,0.855,0.548,255,255
t:16/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,42,35.168,0.837,0.524,255,255
t:17/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,43,32.192,0.749,0.480,255,255
t:18/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,39,30.784,0.789,0.459,255,255
t:19/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,41,32.173,0.785,0.479,255,255
t:20/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,43,32.058,0.746,0.478,255,255
t:21/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,40,30.598,0.765,0.456,255,255
t:22/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,37,29.542,0.798,0.440,255,255
t:23/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,33,29.754,0.902,0.443,255,255
t:24/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,36,27.174,0.755,0.405,255,255
t:25/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,31,25.869,0.834,0.385,255,255
t:26/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,32,25.843,0.808,0.385,255,255
t:27/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,29,24.883,0.858,0.371,255,255
t:28/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,31,25.280,0.815,0.377,255,255
t:29/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,34,25.786,0.758,0.384,255,255
t:30/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,33,25.542,0.774,0.381,255,255
t:31/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,30,25.331,0.844,0.377,255,255
t:32/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,29,25.472,0.878,0.380,255,255
t:33/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,29,24.506,0.845,0.365,255,255
t:34/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,29,23.789,0.820,0.354,255,255
t:35/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,26,23.130,0.890,0.345,255,255
t:36/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,24,22.355,0.931,0.333,255,255
t:37/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,25,20.512,0.820,0.306,255,255
t:38/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,28,19.565,0.699,0.292,255,255
t:39/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,27,19.520,0.723,0.291,255,255
t:40/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,26,17.670,0.680,0.263,255,255
t:41/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,27,17.619,0.653,0.263,255,255
t:42/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,35,19.462,0.556,0.290,255,255
t:43/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,35,18.227,0.521,0.272,255,255
t:44/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,28,16.314,0.583,0.243,255,255
t:45/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,30,16.070,0.536,0.239,255,255
t:46/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,32,16.602,0.519,0.247,255,255
t:47/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,32,15.475,0.484,0.231,255,255
t:48/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,38,15.238,0.401,0.227,255,255
t:49/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,36,13.856,0.385,0.206,255,255
t:50/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,29,11.987,0.413,0.179,255,255
t:51/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,26,10.886,0.419,0.162,255,255
t:52/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,32,13.504,0.422,0.201,255,255
t:53/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,27,12.288,0.455,0.183,255,255
t:54/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,27,12.186,0.451,0.182,255,255
t:55/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,25,11.936,0.477,0.178,255,255
t:56/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,25,11.245,0.450,0.168,255,255
t:57/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,21,11.014,0.524,0.164,255,255
t:58/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,19,9.440,0.497,0.141,255,255
t:59/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,23,9.702,0.422,0.145,255,255
t:60/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,24,10.771,0.449,0.161,255,255
t:61/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,22,9.606,0.437,0.143,255,255
t:62/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,23,8.864,0.385,0.132,255,255
t:63/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,23,9.126,0.397,0.136,255,255
t:64/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,23,8.960,0.390,0.134,255,255
t:65/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,24,9.107,0.379,0.136,255,255
t:66/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,19,8.896,0.468,0.133,255,255
t:67/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,19,8.723,0.459,0.130,255,255
t:68/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,20,8.966,0.448,0.134,255,255
t:69/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,18,7.878,0.438,0.117,255,255
t:70/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,19,8.998,0.474,0.134,255,255
t:71/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,18,7.520,0.418,0.112,255,255
t:72/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,21,7.706,0.367,0.115,255,255
t:73/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,23,8.646,0.376,0.129,255,255
t:74/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,15,6.970,0.465,0.104,255,255
t:75/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,22,7.878,0.358,0.117,255,255
t:76/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,18,7.341,0.408,0.109,255,255
t:77/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,18,6.957,0.386,0.104,255,255
t:78/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,19,7.379,0.388,0.110,255,255
t:79/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,16,6.086,0.380,0.091,255,255
t:80/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,5.222,0.373,0.078,255,255
t:81/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,17,6.118,0.360,0.091,255,255
t:82/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,16,5.683,0.355,0.085,255,255
t:83/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,5.293,0.378,0.079,255,255
t:84/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,15,5.440,0.363,0.081,255,255
t:85/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,16,6.259,0.391,0.093,255,255
t:86/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,13,4.992,0.384,0.074,255,255
t:87/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,12,5.126,0.427,0.076,255,255
t:88/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,12,4.698,0.391,0.070,255,255
t:89/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,17,5.805,0.341,0.086,255,255
t:90/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,20,6.144,0.307,0.092,255,255
t:91/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,17,5.869,0.345,0.087,255,255
t:92/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,16,5.299,0.331,0.079,255,255
t:93/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,13,5.427,0.417,0.081,255,255
t:94/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,16,5.939,0.371,0.089,255,255
t:95/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,12,5.581,0.465,0.083,255,255
t:96/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,5.184,0.370,0.077,255,255
t:97/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,5.517,0.394,0.082,255,255
t:98/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,4.762,0.340,0.071,255,255
t:99/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,5.357,0.383,0.080,255,255
t:100/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,5.670,0.405,0.084,255,255
t:101/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,11,5.837,0.531,0.087,255,255
t:102/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,13,5.536,0.426,0.082,255,255
t:103/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,10,4.838,0.484,0.072,255,255
t:104/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,10,4.550,0.455,0.068,255,255
t:105/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,11,5.171,0.470,0.077,255,255
t:106/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,10,4.717,0.472,0.070,255,255
t:107/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,12,5.018,0.418,0.075,255,255
t:108/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,9,4.653,0.517,0.069,255,255
t:109/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,12,4.986,0.415,0.074,255,255
t:110/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,9,4.179,0.464,0.062,255,255
t:111/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,11,4.960,0.451,0.074,255,255
t:112/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,12,4.973,0.414,0.074,255,255
t:113/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,13,4.960,0.382,0.074,255,255
t:114/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_2_D3D.dv,14,4.896,0.350,0.073,255,255
