 ,ROI,Vamp3
1,0,24468.655
2,1,28699.535
3,2,10146.224
4,3,9859.496
5,4,12677.612
6,5,17460.800
7,6,34146.572
8,7,21861.162
9,8,6839.028
10,9,7007.844
