 ,ROI,Vamp3
1,0,4519.104
2,1,8123.728
3,2,6797.022
4,3,4541.811
5,4,6290.564
6,5,8626.459
7,6,10467.983
8,7,8933.368
9,8,9037.797
10,9,4223.599
