 ,ROI,Vamp3
1,0,34228.167
2,1,33041.969
3,2,16030.786
4,3,15718.849
5,4,13133.431
6,5,23387.365
7,6,24775.256
8,7,20057.832
9,8,20692.144
10,9,15488.454
