 ,ROI,Vamp3
1,0,8051.324
2,1,6649.239
3,2,5651.745
4,3,8041.363
5,4,10451.119
6,5,11078.809
7,6,9061.827
8,7,7963.655
9,8,5204.480
10,9,3320.176
