 ,ROI,Vamp3
1,0,10686.433
2,1,10408.447
3,2,9264.830
4,3,11095.806
5,4,11242.996
6,5,11854.774
7,6,9070.771
8,7,8286.326
9,8,11632.207
10,9,5973.986
