Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,31,28.864,0.931,0.430,255,255
t:2/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,34,28.269,0.831,0.421,255,255
t:3/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,31,27.219,0.878,0.406,255,255
t:4/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,34,26.861,0.790,0.400,255,255
t:5/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,35,26.938,0.770,0.401,255,255
t:6/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,27,26.592,0.985,0.396,255,255
t:7/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,29,26.464,0.913,0.394,255,255
t:8/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,30,25.818,0.861,0.385,255,255
t:9/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,34,26.522,0.780,0.395,255,255
t:10/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,31,26.125,0.843,0.389,255,255
t:11/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,30,25.357,0.845,0.378,255,255
t:12/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,31,25.274,0.815,0.377,255,255
t:13/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,26,24.096,0.927,0.359,255,255
t:14/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,28,23.245,0.830,0.346,255,255
t:15/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,31,22.925,0.740,0.342,255,255
t:16/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,28,21.830,0.780,0.325,255,255
t:17/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,24,21.632,0.901,0.322,255,255
t:18/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,21,21.875,1.042,0.326,255,255
t:19/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,24,21.203,0.883,0.316,255,255
t:20/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,23,18.886,0.821,0.281,255,255
t:21/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,19,17.798,0.937,0.265,255,255
t:22/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,21,18.534,0.883,0.276,255,255
t:23/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,21,17.491,0.833,0.261,255,255
t:24/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,20,16.877,0.844,0.251,255,255
t:25/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,26,18.112,0.697,0.270,255,255
t:26/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,20,17.581,0.879,0.262,255,255
t:27/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,18,16.461,0.914,0.245,255,255
t:28/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,18,15.910,0.884,0.237,255,255
t:29/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,19,16.115,0.848,0.240,255,255
t:30/181 - RPE-GFP-WDFY2_afterWort_01_visit_1_D3D.dv,19,16.243,0.855,0.242,255,255
