Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,29,33.203,1.145,0.495,255,255
t:2/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,34,32.141,0.945,0.479,255,255
t:3/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,30,31.488,1.050,0.469,255,255
t:4/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,30,30.938,1.031,0.461,255,255
t:5/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,27,30.829,1.142,0.459,255,255
t:6/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,31,30.598,0.987,0.456,255,255
t:7/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,27,29.869,1.106,0.445,255,255
t:8/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,24,28.646,1.194,0.427,255,255
t:9/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,26,28.352,1.090,0.422,255,255
t:10/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,29,26.886,0.927,0.401,255,255
t:11/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,25,26.502,1.060,0.395,255,255
t:12/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,25,25.510,1.020,0.380,255,255
t:13/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,26,23.162,0.891,0.345,255,255
t:14/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,23.578,1.025,0.351,255,255
t:15/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,19,22.982,1.210,0.342,255,255
t:16/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,22.182,1.008,0.331,255,255
t:17/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,19,20.634,1.086,0.307,255,255
t:18/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,19,20.102,1.058,0.300,255,255
t:19/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,20.006,0.870,0.298,255,255
t:20/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,21,19.654,0.936,0.293,255,255
t:21/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,21,18.323,0.873,0.273,255,255
t:22/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,18.048,0.820,0.269,255,255
t:23/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,21,17.357,0.827,0.259,255,255
t:24/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,16.122,0.733,0.240,255,255
t:25/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,15.174,0.690,0.226,255,255
t:26/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,14.733,0.670,0.220,255,255
t:27/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,21,14.861,0.708,0.221,255,255
t:28/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,14.349,0.652,0.214,255,255
t:29/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,14.253,0.648,0.212,255,255
t:30/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,26,14.573,0.560,0.217,255,255
t:31/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,13.786,0.627,0.205,255,255
t:32/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,12.870,0.560,0.192,255,255
t:33/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,26,12.448,0.479,0.185,255,255
t:34/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,25,12.134,0.485,0.181,255,255
t:35/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,12.486,0.568,0.186,255,255
t:36/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,12.275,0.534,0.183,255,255
t:37/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,25,12.666,0.507,0.189,255,255
t:38/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,10.944,0.476,0.163,255,255
t:39/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,10.752,0.489,0.160,255,255
t:40/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,24,10.125,0.422,0.151,255,255
t:41/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,26,10.829,0.416,0.161,255,255
t:42/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,9.638,0.419,0.144,255,255
t:43/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,21,8.627,0.411,0.129,255,255
t:44/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,9.011,0.392,0.134,255,255
t:45/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,22,8.768,0.399,0.131,255,255
t:46/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,23,8.595,0.374,0.128,255,255
t:47/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,19,7.878,0.415,0.117,255,255
t:48/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,16,7.475,0.467,0.111,255,255
t:49/181 - RPE-GFP-WDFY2_afterWort_01_visit_2_D3D.dv,17,6.918,0.407,0.103,255,255
