Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:55/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,27,9.946,0.368,0.148,255,255
t:56/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,25,9.414,0.377,0.140,255,255
t:57/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,22,8.723,0.397,0.130,255,255
t:58/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,20,8.819,0.441,0.131,255,255
t:59/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,19,9.325,0.491,0.139,255,255
t:60/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,25,9.875,0.395,0.147,255,255
t:61/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,19,8.486,0.447,0.126,255,255
t:62/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,21,7.904,0.376,0.118,255,255
t:63/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,15,5.920,0.395,0.088,255,255
t:64/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,5.933,0.539,0.088,255,255
t:65/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,5.376,0.489,0.080,255,255
t:66/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,15,5.318,0.355,0.079,255,255
t:67/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,4.864,0.442,0.072,255,255
t:68/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,4.096,0.372,0.061,255,255
t:69/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,4.026,0.403,0.060,255,255
t:70/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,13,4.922,0.379,0.073,255,255
t:71/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,14,4.787,0.342,0.071,255,255
t:72/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,13,4.902,0.377,0.073,255,255
t:73/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,13,4.269,0.328,0.064,255,255
t:74/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,13,4.301,0.331,0.064,255,255
t:75/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,15,4.083,0.272,0.061,255,255
t:76/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,13,3.558,0.274,0.053,255,255
t:77/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,2.989,0.272,0.045,255,255
t:78/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,12,3.546,0.295,0.053,255,255
t:79/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,3.174,0.317,0.047,255,255
t:80/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,8,3.168,0.396,0.047,255,255
t:81/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,2.976,0.271,0.044,255,255
t:82/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,13,3.552,0.273,0.053,255,255
t:83/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,3.315,0.332,0.049,255,255
t:84/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,3.027,0.303,0.045,255,255
t:85/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,9,2.707,0.301,0.040,255,255
t:86/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,3.565,0.324,0.053,255,255
t:87/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,3.648,0.332,0.054,255,255
t:88/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,11,3.802,0.346,0.057,255,255
t:89/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,3.066,0.307,0.046,255,255
t:90/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,12,2.816,0.235,0.042,255,255
t:91/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,2.733,0.273,0.041,255,255
t:92/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,2.912,0.291,0.043,255,255
t:93/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,2.195,0.220,0.033,255,255
t:94/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,2.374,0.237,0.035,255,255
t:95/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,2.432,0.243,0.036,255,255
t:96/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,12,3.021,0.252,0.045,255,255
t:97/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,8,2.438,0.305,0.036,255,255
t:98/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,10,2.374,0.237,0.035,255,255
t:99/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,2.067,0.345,0.031,255,255
t:100/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,1.818,0.260,0.027,255,255
t:101/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,1.862,0.266,0.028,255,255
t:102/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,2.061,0.294,0.031,255,255
t:103/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,1.645,0.274,0.025,255,255
t:104/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,1.574,0.394,0.023,255,255
t:105/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,2.227,0.318,0.033,255,255
t:106/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.907,0.381,0.028,255,255
t:107/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,1.408,0.352,0.021,255,255
t:108/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,1.792,0.299,0.027,255,255
t:109/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.530,0.306,0.023,255,255
t:110/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,1.894,0.316,0.028,255,255
t:111/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,1.875,0.268,0.028,255,255
t:112/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.389,0.278,0.021,255,255
t:113/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.069,0.214,0.016,255,255
t:114/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,0.877,0.175,0.013,255,255
t:115/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,1.018,0.254,0.015,255,255
t:116/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.595,0.149,0.009,255,255
t:117/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.531,0.133,0.008,255,255
t:118/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,0.998,0.166,0.015,255,255
t:119/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,1.299,0.186,0.019,255,255
t:120/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.120,0.224,0.017,255,255
t:121/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,1.248,0.208,0.019,255,255
t:122/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,1.210,0.202,0.018,255,255
t:123/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,0.813,0.135,0.012,255,255
t:124/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,0.710,0.142,0.011,255,255
t:125/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,1.126,0.161,0.017,255,255
t:126/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,8,1.440,0.180,0.021,255,255
t:127/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,0.941,0.134,0.014,255,255
t:128/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.621,0.155,0.009,255,255
t:129/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.941,0.235,0.014,255,255
t:130/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.389,0.278,0.021,255,255
t:131/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,1.024,0.205,0.015,255,255
t:132/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.992,0.248,0.015,255,255
t:133/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.723,0.181,0.011,255,255
t:134/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.467,0.156,0.007,255,255
t:135/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.634,0.158,0.009,255,255
t:136/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,0.762,0.152,0.011,255,255
t:137/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.358,0.179,0.005,255,255
t:138/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,0.998,0.200,0.015,255,255
t:139/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,6,1.082,0.180,0.016,255,255
t:140/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.512,0.128,0.008,255,255
t:141/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.307,0.102,0.005,255,255
t:142/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.454,0.151,0.007,255,255
t:143/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,5,0.704,0.141,0.010,255,255
t:144/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,7,1.069,0.153,0.016,255,255
t:145/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.819,0.205,0.012,255,255
t:146/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.640,0.160,0.010,255,255
t:147/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.704,0.176,0.010,255,255
t:148/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.582,0.194,0.009,255,255
t:149/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.550,0.183,0.008,255,255
t:150/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.678,0.170,0.010,255,255
t:151/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.589,0.294,0.009,255,255
t:152/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.333,0.166,0.005,255,255
t:153/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.710,0.237,0.011,255,255
t:154/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,4,0.525,0.131,0.008,255,255
t:155/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.346,0.173,0.005,255,255
t:156/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.269,0.134,0.004,255,255
t:157/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.205,0.205,0.003,255,255
t:158/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.186,0.186,0.003,255,255
t:159/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.410,0.137,0.006,255,255
t:160/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.134,0.134,0.002,255,255
t:161/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,3,0.339,0.113,0.005,255,255
t:162/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.269,0.134,0.004,255,255
t:163/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.288,0.144,0.004,255,255
t:164/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.320,0.160,0.005,255,255
t:165/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.480,0.240,0.007,255,255
t:166/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.442,0.221,0.007,255,255
t:167/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.166,0.166,0.002,255,255
t:168/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.256,0.128,0.004,255,255
t:169/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.262,0.131,0.004,255,255
t:170/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,2,0.397,0.198,0.006,255,255
t:171/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.166,0.166,0.002,255,255
t:172/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.237,0.237,0.004,255,255
t:173/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.269,0.269,0.004,255,255
t:174/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.269,0.269,0.004,255,255
t:175/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.122,0.122,0.002,255,255
t:176/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,0,0.000,NaN,0.000,NaN,NaN
t:177/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,0,0.000,NaN,0.000,NaN,NaN
t:178/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.237,0.237,0.004,255,255
t:179/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.173,0.173,0.003,255,255
t:180/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.186,0.186,0.003,255,255
t:181/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,1,0.173,0.173,0.003,255,255
