Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,51,31.130,0.610,0.464,255,255
t:2/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,55,31.392,0.571,0.468,255,255
t:3/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,56,29.946,0.535,0.446,255,255
t:4/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,56,28.800,0.514,0.429,255,255
t:5/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,52,27.635,0.531,0.412,255,255
t:6/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,50,25.901,0.518,0.386,255,255
t:7/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,43,25.261,0.587,0.376,255,255
t:8/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,48,24.723,0.515,0.368,255,255
t:9/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,47,22.899,0.487,0.341,255,255
t:10/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,42,23.053,0.549,0.344,255,255
t:11/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,45,21.498,0.478,0.320,255,255
t:12/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,36,19.936,0.554,0.297,255,255
t:13/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,40,20.749,0.519,0.309,255,255
t:14/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,37,19.936,0.539,0.297,255,255
t:15/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,36,19.091,0.530,0.284,255,255
t:16/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,32,17.670,0.552,0.263,255,255
t:17/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,34,17.101,0.503,0.255,255,255
t:18/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,29,17.645,0.608,0.263,255,255
t:19/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,28,14.694,0.525,0.219,255,255
t:20/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,27,15.123,0.560,0.225,255,255
t:21/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,27,14.336,0.531,0.214,255,255
t:22/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,29,13.331,0.460,0.199,255,255
t:23/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,27,12.531,0.464,0.187,255,255
t:24/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,28,12.365,0.442,0.184,255,255
t:25/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,22,12.134,0.552,0.181,255,255
t:26/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,22,11.334,0.515,0.169,255,255
t:27/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,23,10.694,0.465,0.159,255,255
t:28/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,26,10.746,0.413,0.160,255,255
t:29/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,25,9.741,0.390,0.145,255,255
t:30/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,23,9.843,0.428,0.147,255,255
t:31/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,21,8.979,0.428,0.134,255,255
t:32/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,21,8.461,0.403,0.126,255,255
t:33/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,22,7.962,0.362,0.119,255,255
t:34/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,24,8.365,0.349,0.125,255,255
t:35/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,25,8.032,0.321,0.120,255,255
t:36/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,26,7.846,0.302,0.117,255,255
t:37/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,21,6.886,0.328,0.103,255,255
t:38/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,21,7.206,0.343,0.107,255,255
t:39/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,24,6.726,0.280,0.100,255,255
t:40/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,22,7.002,0.318,0.104,255,255
t:41/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,18,6.106,0.339,0.091,255,255
t:42/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,18,6.214,0.345,0.093,255,255
t:43/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,24,6.803,0.283,0.101,255,255
t:44/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,17,5.677,0.334,0.085,255,255
t:45/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,14,5.158,0.368,0.077,255,255
t:46/181 - RPE-GFP-WDFY2_afterWort_01_visit_4_D3D.dv,12,5.261,0.438,0.078,255,255
