Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,55,78.784,1.432,1.174,255,255
t:2/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,50,75.891,1.518,1.131,255,255
t:3/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,55,74.560,1.356,1.111,255,255
t:4/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,54,73.792,1.367,1.100,255,255
t:5/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,49,69.965,1.428,1.043,255,255
t:6/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,49,71.494,1.459,1.065,255,255
t:7/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,52,71.341,1.372,1.063,255,255
t:8/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,50,67.923,1.358,1.012,255,255
t:9/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,47,66.650,1.418,0.993,255,255
t:10/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,48,66.176,1.379,0.986,255,255
t:11/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,50,64.390,1.288,0.959,255,255
t:12/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,44,63.526,1.444,0.947,255,255
t:13/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,48,63.814,1.329,0.951,255,255
t:14/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,47,62.054,1.320,0.925,255,255
t:15/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,48,61.267,1.276,0.913,255,255
t:16/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,51,59.258,1.162,0.883,255,255
t:17/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,44,58.502,1.330,0.872,255,255
t:18/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,46,57.485,1.250,0.857,255,255
t:19/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,43,56.230,1.308,0.838,255,255
t:20/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,41,57.658,1.406,0.859,255,255
t:21/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,43,57.459,1.336,0.856,255,255
t:22/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,40,56.006,1.400,0.835,255,255
t:23/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,47,54.726,1.164,0.815,255,255
t:24/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,40,53.165,1.329,0.792,255,255
t:25/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,41,51.245,1.250,0.764,255,255
t:26/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,40,49.779,1.244,0.742,255,255
t:27/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,39,49.197,1.261,0.733,255,255
t:28/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,38,47.405,1.247,0.706,255,255
t:29/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,38,46.502,1.224,0.693,255,255
t:30/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,45,45.722,1.016,0.681,255,255
t:31/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,41,44.813,1.093,0.668,255,255
t:32/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,37,43.590,1.178,0.650,255,255
t:33/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,37,42.157,1.139,0.628,255,255
t:34/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,34,41.837,1.230,0.623,255,255
t:35/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,39,40.845,1.047,0.609,255,255
t:36/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,34,40.064,1.178,0.597,255,255
t:37/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,32,38.624,1.207,0.576,255,255
t:38/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,30,37.146,1.238,0.554,255,255
t:39/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,30,36.218,1.207,0.540,255,255
t:40/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,26,33.210,1.277,0.495,255,255
t:41/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,28,32.582,1.164,0.486,255,255
t:42/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,25,31.789,1.272,0.474,255,255
t:43/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,25,30.202,1.208,0.450,255,255
t:44/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,24,29.293,1.221,0.436,255,255
t:45/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,27,28.352,1.050,0.422,255,255
t:46/181 - RPE-GFP-WDFY2_afterWort_01_visit_3_D3D.dv,24,28.595,1.191,0.426,255,255
