 ,ROI,Vamp3
1,0,7176.043
2,1,6124.310
3,2,6285.231
4,3,5990.600
5,4,6157.809
6,5,7063.946
7,6,10227.747
8,7,11435.845
9,8,17974.790
10,9,8550.763
