 ,ROI,Vamp3
1,0,19414.346
2,1,22572.999
3,2,14359.850
4,3,18521.690
5,4,21594.970
6,5,16213.761
7,6,20035.071
8,7,20116.807
9,8,15116.934
10,9,10151.348
