 ,ROI,Vamp3
1,0,11781.410
2,1,8087.826
3,2,6602.763
4,3,8498.933
5,4,10695.941
6,5,14575.342
7,6,11808.416
8,7,12465.683
9,8,9865.138
10,9,9153.497
