 ,ROI,Vamp3
1,0,6677.892
2,1,6113.422
3,2,5103.382
4,3,4763.383
5,4,6647.998
6,5,7925.993
7,6,13856.313
8,7,10429.904
9,8,4123.591
10,9,4164.629
