 ,ROI,Vamp3
1,0,5634.135
2,1,11111.093
3,2,8320.758
4,3,8281.903
5,4,16125.369
6,5,15702.438
7,6,10263.469
8,7,11306.867
9,8,5046.695
10,9,3863.581
