 ,ROI,Vamp3
1,0,3593.246
2,1,4694.011
3,2,5176.344
4,3,8357.332
5,4,7422.162
6,5,4035.046
7,6,5526.966
8,7,6576.813
9,8,10627.212
10,9,8208.199
