 ,ROI,Vamp3
1,0,3320.727
2,1,4126.196
3,2,4121.817
4,3,4336.386
5,4,5609.913
6,5,6828.414
7,6,6000.796
8,7,6451.673
9,8,6959.376
10,9,4693.309
