 ,ROI,Vamp3
1,0,13380.073
2,1,30192.160
3,2,20342.544
4,3,11658.959
5,4,8521.486
6,5,8090.517
7,6,6624.088
8,7,4916.343
9,8,3836.823
10,9,2369.754
