 ,ROI,Vamp3
1,0,24489.888
2,1,20362.874
3,2,14328.013
4,3,16232.896
5,4,16631.828
6,5,20345.426
7,6,16912.668
8,7,16435.769
9,8,15312.603
10,9,10456.948
