 ,ROI,Vamp3
1,0,6404.206
2,1,11254.076
3,2,18104.547
4,3,17164.688
5,4,10229.392
6,5,9895.419
7,6,8766.293
8,7,9331.486
9,8,8239.008
10,9,5779.599
