 ,ROI,Vamp3
1,0,13927.727
2,1,13741.471
3,2,12444.797
4,3,11396.347
5,4,13310.272
6,5,12319.285
7,6,18632.727
8,7,24939.003
9,8,16710.238
10,9,17568.646
