 ,ROI,Vamp3
1,0,10049.249
2,1,8343.797
3,2,9938.396
4,3,8694.728
5,4,12234.249
6,5,15721.038
7,6,19036.526
8,7,12477.110
9,8,9557.918
10,9,6686.901
