 ,ROI,Vamp3
1,0,6636.702
2,1,5120.771
3,2,4969.841
4,3,7576.738
5,4,9482.744
6,5,12283.983
7,6,16844.765
8,7,14154.842
9,8,8833.950
10,9,5767.510
