 ,ROI,Vamp3
1,0,13094.023
2,1,13207.924
3,2,10268.820
4,3,12638.623
5,4,17108.007
6,5,21435.125
7,6,24926.036
8,7,19058.858
9,8,12550.241
10,9,5560.737
