 ,ROI,Vamp3
1,0,8088.608
2,1,9334.886
3,2,11321.141
4,3,8476.744
5,4,10215.542
6,5,10527.026
7,6,12959.823
8,7,14843.592
9,8,15619.207
10,9,13415.162
