 ,ROI,Vamp3
1,0,7536.027
2,1,8504.094
3,2,10042.638
4,3,14702.939
5,4,14247.200
6,5,13155.490
7,6,13430.464
8,7,18546.834
9,8,19917.284
10,9,12747.083
