 ,ROI,Vamp3
1,0,8058.382
2,1,8364.767
3,2,6702.751
4,3,8290.726
5,4,8673.199
6,5,10181.130
7,6,9776.777
8,7,12557.584
9,8,13126.117
10,9,9003.249
