 ,ROI,Vamp3
1,0,5306.582
2,1,6230.734
3,2,6451.113
4,3,5306.014
5,4,6481.319
6,5,8497.156
7,6,9162.848
8,7,7497.464
9,8,3480.625
10,9,1658.205
