 ,ROI,Vamp3
1,0,4063.860
2,1,4425.772
3,2,4964.356
4,3,4721.158
5,4,6425.915
6,5,6573.418
7,6,9167.454
8,7,17811.358
9,8,13658.036
10,9,5707.127
