 ,ROI,Vamp3
1,0,6267.580
2,1,7244.069
3,2,6725.300
4,3,5567.171
5,4,7897.709
6,5,11742.933
7,6,16027.000
8,7,10924.071
9,8,6295.955
10,9,5085.668
