 ,ROI,Vamp3
1,0,4714.698
2,1,5383.714
3,2,4758.924
4,3,7208.022
5,4,7157.573
6,5,12518.471
7,6,12008.102
8,7,12967.165
9,8,13271.396
10,9,8554.052
