 ,ROI,Vamp3
1,0,13116.139
2,1,8321.455
3,2,10440.271
4,3,10219.770
5,4,10334.724
6,5,8461.393
7,6,10505.934
8,7,8994.761
9,8,7736.428
10,9,3444.856
