Image;Experiment;date aquired;tubule number;Endosomes size;Max length;Frames;Lifetime
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;59;0,882;0,599;8;8
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;60;0,738;0,557;16;16
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;61;0,599;0,672;4;4
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;62;0,502;0,599;9;9
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;63;0,892;0,812;8;8
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;64;0,75;0,978;14;14
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;65;0,882;0,892;9;9
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;66;0,671;0,874;9;9
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;67;0,641;0,449;12;12
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;68;0,794;0,809;13;13
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;2;03.09.2018;69;0,892;1,337;4;4
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;70;0,754;2,061;17;17
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;71;0,589;0,533;7;7
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;72;0,66;0,853;7;7
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;73;0,503;0,459;19;19
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;74;0,828;0,793;10;10
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;75;0,624;0,596;7;7
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;76;0,525;1,149;11;11
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;2;03.09.2018;77;0,622;0,86;19;19
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;2;03.09.2018;78;0,655;0,661;27;27
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;2;03.09.2018;79;0,784;0,926;15;15
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;2;03.09.2018;80;0,962;0,529;10;10
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;2;03.09.2018;81;0,749;0,929;8;8
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;2;03.09.2018;82;0,557;0,591;3;3
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;2;03.09.2018;83;0,484;1,391;6;6
