 ,ROI,Vamp3
1,0,8074.286
2,1,5347.499
3,2,6755.237
4,3,6770.237
5,4,3910.759
6,5,2566.463
7,6,4059.055
8,7,2884.176
9,8,3570.502
10,9,3558.170
