 ,ROI,Vamp3
1,0,14200.156
2,1,15812.628
3,2,13351.520
4,3,17299.458
5,4,16992.189
6,5,15551.105
7,6,10276.919
8,7,11194.630
9,8,9970.940
10,9,5002.544
