 ,ROI,Vamp3
1,0,23967.323
2,1,18142.114
3,2,15687.237
4,3,15634.145
5,4,12777.193
6,5,13331.365
7,6,15160.593
8,7,12666.275
9,8,12999.688
10,9,9939.425
