 ,ROI,Vamp3
1,0,13435.372
2,1,35117.047
3,2,18275.722
4,3,17636.789
5,4,14557.178
6,5,17749.983
7,6,17061.700
8,7,19246.936
9,8,16308.153
10,9,14558.186
