 ,ROI,Vamp3
1,0,8888.281
2,1,9868.022
3,2,10769.594
4,3,13566.155
5,4,12565.092
6,5,14086.831
7,6,12884.828
8,7,8941.594
9,8,9652.733
10,9,9626.811
