 ,ROI,Vamp3
1,0,7720.735
2,1,7882.580
3,2,7828.023
4,3,7265.122
5,4,7561.354
6,5,6625.456
7,6,5495.701
8,7,6349.862
9,8,5386.770
10,9,5568.300
