 ,ROI,Vamp3
1,0,12267.913
2,1,17256.535
3,2,11894.583
4,3,5980.910
5,4,8921.022
6,5,7744.465
7,6,5483.203
8,7,5425.139
9,8,7585.337
10,9,7233.323
